idx	lat_ms	scope	load_cpu	idle_cpu
1	2086	two	100.48	0.00
2	1085	two	99.90	0.00
3	2069	two	100.14	0.00
4	2075	two	99.94	0.00
5	2069	two	100.23	0.00
6	2068	two	100.13	0.00
7	2083	two	100.12	0.00
8	2106	two	100.32	0.00
9	2071	two	100.01	0.00
10	2074	two	100.12	0.00
11	2074	two	100.01	0.00
12	2076	two	99.84	0.00
13	2088	two	99.89	0.00
14	1063	two	100.12	0.00
15	2061	two	100.29	0.00
16	2068	two	100.13	0.00
17	2060	two	100.26	0.00
18	1065	two	100.02	0.00
19	2068	two	99.83	0.00
20	2064	two	100.02	0.00
21	2069	two	99.94	0.00
22	2078	two	100.07	0.00
23	2073	two	100.02	0.00
24	2088	two	99.83	0.00
25	2077	two	100.13	0.00
26	2071	two	99.96	0.00
27	2067	two	100.24	0.00
28	2066	two	99.93	0.00
29	1061	two	99.92	0.00
30	2063	two	99.99	0.00
ref	2089	all	-	-
ref	1965	one	-	-
